iter	Passed	Remaining
439	1233	1569
440	1237	1569
441	1240	1566
442	1242	1562
443	1244	1558
444	1246	1554
445	1248	1550
446	1252	1549
447	1257	1549
448	1259	1545
449	1260	1540
450	1262	1537
451	1268	1537
452	1270	1533
453	1331	1601
454	1334	1598
455	1336	1594
456	1338	1590
457	1340	1586
458	1342	1582
459	1347	1581
460	1349	1577
461	1351	1574
462	1354	1570
463	1356	1566
464	1363	1568
465	1402	1607
466	1404	1602
467	1406	1599
468	1410	1596
469	1412	1592
470	1414	1588
471	1415	1583
472	1417	1579
473	1422	1578
474	1424	1574
475	1427	1571
476	1429	1567
477	1431	1563
478	1434	1559
479	1436	1556
480	1438	1552
481	1440	1548
482	1443	1544
483	1448	1544
484	1451	1541
485	1454	1538
486	1457	1534
487	1461	1533
488	1501	1569
489	1503	1565
490	1505	1561
491	1510	1559
492	1512	1555
493	1514	1551
494	1517	1548
495	1519	1544
496	1521	1539
497	1524	1536
498	1526	1532
499	1529	1529
500	1531	1525
501	1533	1521
502	1536	1518
503	1538	1513
504	1540	1509
505	1542	1505
506	1568	1524
507	1570	1520
508	1571	1516
509	1574	1512
510	1580	1512
511	1582	1507
512	1583	1503
513	1585	1498
514	1586	1494
515	1588	1490
516	1590	1485
517	1591	1481
518	1595	1478
519	1597	1474
520	1598	1469
521	1600	1465
522	1601	1460
523	1603	1456
524	1604	1451
525	1605	1447
526	1610	1445
527	1611	1440
528	1613	1436
529	1614	1431
530	1616	1427
531	1617	1423
532	1620	1419
533	1624	1418
534	1626	1413
535	1628	1409
536	1629	1405
537	1631	1401
538	1639	1402
539	1640	1397
540	1642	1393
541	1644	1389
542	1646	1385
543	1648	1382
544	1650	1378
545	1654	1376
546	1656	1371
547	1658	1367
548	1659	1363
549	1661	1359
550	1663	1355
551	1664	1350
552	1668	1348
553	1670	1344
554	1671	1340
555	1673	1336
556	1674	1332
557	1676	1327
558	1678	1324
559	1680	1320
560	1683	1317
561	1685	1313
562	1686	1308
563	1687	1304
564	1689	1300
565	1690	1296
566	1692	1292
567	1693	1288
568	1695	1283
569	1697	1280
570	1699	1276
571	1700	1272
572	1702	1268
573	1703	1264
574	1704	1260
575	1706	1256
576	1707	1251
577	1709	1247
578	1711	1244
579	1713	1241
580	1715	1237
581	1716	1233
582	1718	1229
583	1719	1225
584	1721	1221
585	1722	1217
586	1724	1213
587	1728	1211
588	1731	1207
589	1733	1204
590	1735	1201
591	1737	1197
592	1739	1194
593	1741	1190
594	1743	1186
595	1744	1182
596	1746	1178
597	1748	1175
598	1749	1171
599	1751	1167
600	1756	1165
601	1757	1162
602	1759	1158
603	1761	1154
604	1763	1151
605	1765	1147
606	1769	1145
607	1772	1142
608	1774	1139
609	1776	1135
610	1778	1132
611	1780	1128
612	1785	1127
613	1788	1124
614	1790	1120
615	1791	1116
616	1793	1113
617	1798	1111
618	1800	1108
619	1802	1104
620	1916	1169
621	1919	1166
622	1921	1162
623	1924	1159
624	1929	1157
625	1932	1154
626	1936	1151
627	1938	1148
628	1944	1146
629	1948	1144
630	1965	1149
631	1967	1145
632	1969	1141
633	1973	1139
634	1975	1135
635	1978	1132
636	1980	1128
637	1982	1124
638	1984	1121
639	1988	1118
640	1996	1118
641	1999	1114
642	2024	1124
643	2027	1120
644	2029	1116
645	2034	1114
646	2036	1111
647	2039	1107
648	2040	1103
649	2043	1100
650	2045	1096
651	2050	1094
652	2059	1094
653	2061	1090
654	2080	1095
655	2083	1092
656	2085	1088
657	2087	1084
658	2089	1081
659	2091	1077
660	2099	1076
661	2101	1073
662	2104	1069
663	2106	1065
664	2111	1063
665	2112	1059
666	2114	1055
667	2116	1052
668	2118	1048
669	2121	1044
670	2137	1048
671	2142	1045
672	2145	1042
673	2147	1038
674	2149	1035
675	2153	1032
676	2157	1029
677	2167	1029
678	2169	1025
679	2172	1022
680	2173	1018
681	2175	1014
682	2177	1010
683	2182	1008
684	2183	1004
685	2185	1000
686	2186	996
687	2188	992
688	2191	989
689	2195	986
690	2197	982
691	2199	978
692	2200	974
693	2202	971
694	2204	967
695	2206	963
696	2208	960
697	2209	956
698	2211	952
699	2212	948
700	2214	944
701	2216	941
702	2222	939
703	2224	935
704	2226	931
705	2229	928
706	2231	924
707	2232	920
708	2237	918
709	2239	914
710	2241	910
711	2242	907
712	2244	903
713	2246	899
714	2249	896
715	2251	893
716	2253	889
717	2254	885
718	2255	881
719	2256	877
720	2258	873
721	2259	869
722	2260	866
723	2261	862
724	2263	858
725	2266	855
726	2267	851
727	2269	847
728	2271	844
729	2272	840
730	2274	836
731	2276	833
732	2278	830
733	2280	826
734	2282	822
735	2284	819
736	2285	815
737	2287	812
738	2288	808
739	2290	804
740	2294	801
741	2296	798
742	2298	795
743	2300	791
744	2302	788
745	2304	784
746	2308	781
747	2310	778
748	2312	774
749	2313	771
750	2315	767
751	2317	764
752	2318	760
753	2320	757
754	2322	753
755	2324	750
756	2325	746
757	2327	743
758	2329	739
759	2331	736
760	2335	733
761	2337	729
762	2338	726
763	2340	722
764	2341	719
765	2343	715
766	2345	712
767	2347	708
768	2349	705
769	2350	702
770	2352	698
771	2354	695
772	2356	691
